model,status,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr,cv_mean,cv_std,cv_ci_low,cv_ci_high,fit_seconds,n_train,n_test
random_forest,ok,0.7604,0.7693,0.7693,0.7688,0.7596,0.9113,0.807,0.0493,0.7718,0.8423,0.193,384,96
stacking,ok,0.7708,0.7917,0.7682,0.7766,0.7704,0.9197,0.8002,0.0389,0.7723,0.828,2.182,384,96
extra_trees,ok,0.7812,0.8051,0.7762,0.7857,0.7805,0.9221,0.7972,0.0535,0.7589,0.8355,0.156,384,96
catboost,ok,0.7812,0.787,0.7922,0.7895,0.7806,0.9022,0.7924,0.0605,0.7491,0.8356,1.198,384,96
mlp,ok,0.7604,0.7734,0.7639,0.7676,0.7603,0.9104,0.7904,0.0347,0.7655,0.8152,0.823,384,96
voting,ok,0.8021,0.8139,0.8046,0.8074,0.8016,0.9042,0.7817,0.0699,0.7317,0.8317,0.244,384,96
lightgbm,ok,0.75,0.7588,0.7596,0.7574,0.7472,0.8956,0.7815,0.0464,0.7483,0.8146,0.275,384,96
xgboost,ok,0.7292,0.7486,0.7294,0.735,0.7274,0.89,0.7789,0.0593,0.7365,0.8214,0.348,384,96
gradient_boosting,ok,0.7708,0.7807,0.7772,0.777,0.7697,0.8884,0.7725,0.0552,0.7331,0.812,0.435,384,96
hist_gradient_boosting,ok,0.7708,0.7886,0.7719,0.7747,0.7668,0.8926,0.7688,0.0513,0.7322,0.8055,0.476,384,96
svc,ok,0.7812,0.8051,0.7762,0.7857,0.7805,0.8892,0.765,0.0723,0.7133,0.8168,0.058,384,96
logistic_regression,ok,0.75,0.7661,0.7505,0.757,0.7505,0.8874,0.7641,0.0787,0.7079,0.8204,0.037,384,96
decision_tree,ok,0.6354,0.6364,0.6614,0.6446,0.6297,0.7372,0.746,0.082,0.6873,0.8046,0.017,384,96
knn,ok,0.7188,0.7189,0.75,0.7276,0.7118,0.8646,0.7139,0.0712,0.663,0.7649,0.015,384,96
naive_bayes,ok,0.6042,0.6235,0.6663,0.597,0.5666,0.809,0.5591,0.0932,0.4924,0.6257,0.018,384,96
dummy,ok,0.4375,0.1458,0.3333,0.2029,0.2663,0.5,0.2036,0.002,0.2021,0.205,0.013,384,96
